GEOID,MHI_2018
17031823304,49014
17031823400,47371
17031823500,56331
17031823602,63017
17031823603,40521
17031823604,86944
17031823605,61250
17031823702,56938
17031823703,53549
17031823704,99306
17031823705,58895
17031823801,88750
17031823803,66287
17031823805,54594
17031823806,50855
17031823901,84116
17031823903,83828
17031823904,85119
17031824003,92984
17031824004,71250
17031824005,106656
17031824006,124519
17031824105,106978
17031824106,91250
17031824107,73825
17031824108,85932
17031824113,95668
17031824114,104861
17031824115,69342
17031824116,67870
17031824117,97899
17031824119,98854
17031824120,105942
17031824121,81480
17031824122,99038
17031824123,66981
17031824300,26342
17031824400,31694
17031824503,66027
17031824505,80365
17031824506,66024
17031824507,61774
17031824601,75442
17031824602,61461
17031824701,66840
17031824702,52978
17031824800,46156
17031824900,34000
17031825000,63931
17031825200,80592
17031825302,62214
17031825303,65216
17031825304,65720
17031825400,63191
17031825501,48975
17031825503,58531
17031825504,45729
17031825505,62602
17031825600,42417
17031825700,43983
17031825801,44456
17031825802,44242
17031825803,47423
17031825900,43587
17031826000,45809
17031826100,47390
17031826201,33989
17031826202,39375
17031826301,52917
17031826303,46837
17031826304,34500
17031826401,53910
17031826402,53221
17031826500,41653
17031826600,38269
17031826700,31725
17031826800,37846
17031826901,25296
17031826902,27697
17031827000,31716
17031827100,28405
17031827200,38077
17031827300,21015
17031827400,21455
17031827500,37350
17031827600,37500
17031827700,36657
17031827801,59213
17031827802,67319
17031827804,72500
17031827805,63750
17031827901,78841
17031827902,47844
17031828000,43429
17031828100,54940
17031828201,53343
17031828202,59935
17031828300,57449
17031828401,67778
17031828402,46713
17031828503,38918
17031828504,45625
17031828505,51485
17031828506,54518
17031828601,77608
17031828602,92630
17031828701,74821
17031828702,57361
17031828801,88225
17031828802,70337
17031828900,39318
17031829000,19716
17031829100,31269
17031829200,48763
17031829301,70313
17031829302,26167
17031829401,30511
17031829402,39375
17031829500,38082
17031829600,48958
17031829700,39044
17031829800,106079
17031829901,77098
17031829902,77518
17031830001,40417
17031830003,92660
17031830004,85750
17031830005,97237
17031830006,54575
17031830007,44595
17031830008,86160
17031830100,71744
17031830201,49719
17031830202,96607
17031830300,34088
17031830400,55570
17031830500,39401
17031830600,47355
17031830700,51950
