GEOID,work_travel_time_2017
17031824900,31500
17031825000,78960
17031825200,35585
17031825302,93940
17031825303,55810
17031825304,64115
17031825400,83470
17031825501,65740
17031825503,103150
17031825504,49645
17031825505,71155
17031825600,57745
17031825700,53275
17031825801,47400
17031825802,88130
17031825803,87715
17031825900,54555
17031826000,37230
17031826100,88255
17031826201,45500
17031826202,72255
17031826301,67990
17031826303,62385
17031826304,32465
17031826401,61625
17031826402,80535
17031826500,83385
17031826600,93735
17031826700,73130
17031826800,58570
17031826901,16850
17031826902,10175
17031827000,38920
17031827100,27885
17031827200,50010
17031827300,30405
17031827400,37620
17031827500,39285
17031827600,36025
17031827700,31345
17031827801,72955
17031827802,44255
17031827804,44390
17031827805,53745
17031827901,30745
17031827902,61860
17031828000,64360
17031828100,66960
17031828201,60220
17031828202,75665
17031828300,39975
17031828401,58495
17031828402,60075
17031828503,48095
17031828504,87865
17031828505,66185
17031828506,131965
17031828601,61800
17031828602,66645
17031828701,56520
17031828702,60210
17031828801,76165
17031828802,43515
17031828900,28535
17031829000,8300
17031829100,29700
17031829200,57120
17031829301,51155
17031829302,35830
17031829401,9395
17031829402,37615
17031829500,37590
17031829600,35840
17031829700,42295
17031829800,97895
17031829901,149345
17031829902,71885
17031830001,30030
17031830003,124740
17031830004,113070
17031830005,63535
17031830006,36360
17031830007,61870
17031830008,77510
17031830100,39865
17031830201,72865
17031830202,61305
17031830300,61240
17031830400,60380
17031830500,53265
17031830600,104365
17031830700,74825
17031830800,75825
17031830900,64435
17031831000,47680
17031831100,130610
17031831200,82710
17031831300,9485
17031831400,38135
17031831500,75255
17031831600,105415
17031831700,39350
17031831800,101535
17031831900,70985
17031832000,47155
17031832100,75795
17031832200,61910
17031832300,44210
17031832400,59330
17031832500,57155
17031832600,69900
17031832900,39800
17031833000,65085
17031833100,114465
17031833300,38420
17031833900,34685
17031834000,46520
17031834200,58085
17031834300,68135
17031834400,67115
17031834500,11650
17031834600,20680
17031834700,17540
17031834800,14245
17031834900,15735
17031835000,75835
17031835100,68265
17031835200,26690
17031835500,15755
17031835600,6410
17031835700,null
17031835800,20155
17031835900,28295
17031836000,49060
17031836100,21690
17031836200,9250
17031836300,19360
17031836400,40880
