GEOID,perc_rental_housing_2018
17031490700,34.4134078
17031490800,30.0680272
17031490901,64.0658554
17031490902,43.7837838
17031491000,53.4172662
17031491100,25.6854257
17031491200,33.6734694
17031491300,48.7261146
17031491400,76.1946903
17031500100,46.5416936
17031500200,67.0037927
17031500300,51.303155
17031510100,44.5866142
17031510200,23.1115108
17031510300,45.5572676
17031520100,32.8512397
17031520200,69.4883721
17031520300,30.4526749
17031520400,34.9194167
17031520500,18.2816537
17031520600,17.6100629
17031530100,50.3293808
17031530200,46.3098135
17031530300,21.6981132
17031530400,18.4531886
17031530501,45.4366382
17031530502,15.4440154
17031530503,28.0641466
17031530600,55.2631579
17031540101,95.567867
17031540102,87.7240143
17031550100,29.4215564
17031550200,17.2511848
17031560100,27.4853801
17031560200,18.5185185
17031560300,12.1848739
17031560400,11.2087912
17031560700,37.2131148
17031560800,20.3309693
17031560900,11.1520252
17031561000,13.952381
17031561100,7.6429717
17031570100,33.253012
17031570200,20.9836066
17031570300,45.122681
17031570400,53.030303
17031570500,55.4775281
17031580100,42.6799007
17031580200,45.5531453
17031580300,51.3552068
17031580400,46.5025907
17031580501,58.1137309
17031580502,51.1065007
17031580600,49.0277778
17031580700,47.0069313
17031580800,60.915493
17031590500,44.3740095
17031590600,42.8692699
17031590700,57.3459716
17031600400,59.3295383
17031600600,57.2982774
17031600700,56.3909774
17031600900,62.6920263
17031610300,62.8143713
17031610400,73.7564322
17031610800,49.4444444
17031611000,69.9658703
17031611100,69.189907
17031611200,80.7040417
17031611300,76.084408
17031611400,75.2642706
17031611500,73.8527215
17031611600,51.6007533
17031611700,72.2021661
17031611800,72.8486647
17031611900,68.8288288
17031612000,55.7377049
17031612100,62.7118644
17031620100,21.8438538
17031620200,35.890411
17031620300,32.1393523
17031620400,15.5045119
17031630100,58.9830508
17031630200,58.263773
17031630300,45.7165733
17031630400,48.3615819
17031630500,48.828125
17031630800,38.5872738
17031630900,41.9984387
17031640100,53.4979424
17031640300,34.8191758
17031640400,16.4043082
17031640500,26.8560362
17031640600,47.4382158
17031640700,24.2194891
17031640800,24.8161765
17031650100,42.7444795
17031650200,41.3022814
17031650301,20.9287532
17031650302,24.3947858
17031650400,22.3922902
17031650500,21.3692946
17031660301,68.5981308
17031660302,62.8879892
17031660400,38.7251542
17031660500,53.8802661
17031660600,69.1714836
17031660700,46.2171053
17031660800,65.2435358
17031660900,74.2304939
17031661000,52.3504274
17031661100,31.3510694
17031670100,60
17031670200,56.969697
17031670300,55.0351288
17031670400,56.4885496
17031670500,43.4285714
17031670600,40.0576369
17031670700,41.2921348
17031670800,63.3828996
17031670900,42.2997947
17031671100,65.8862876
17031671200,80.4560261
17031671300,52.0325203
17031671400,38.1742739
17031671500,48.3790524
17031671600,70.7213579
17031671800,38.9920424
17031671900,26.557377
17031672000,40.1901469
17031680500,60.1336303
17031680600,66.7582418
17031680900,86.4534884
17031681000,69.1756272
17031681100,78.778135
17031681200,82.5
17031681300,71.961326
17031681400,40.3592814
17031690300,92.893401
17031690400,75.9299781
17031690500,71.0280374
17031690900,73.3373277
17031691000,55.2750225
17031691100,71.4285714
17031691200,70.5827937
17031691300,51.5009381
17031691400,56.2401264
17031691500,73.9974127
17031700100,27.4344569
17031700200,14.9678112
17031700301,13.080895
17031700302,14.5537237
17031700401,18.5244161
17031700402,14.1653905
17031700501,24.9586093
17031700502,4.2307692
17031710100,82.6175869
17031710200,68.70317
17031710300,72.3562152
17031710400,47.7819348
17031710500,68.7419769
17031710600,68.404908
17031710700,67.7938808
17031710800,64.3849717
17031710900,56.2015504
17031711000,48.7708948
17031711100,39.5878525
17031711200,37.0746572
17031711300,54.7138047
17031711400,36.8231047
17031711500,25.631769
17031720100,5.9372349
17031720200,23.3950617
17031720300,2.0679468
17031720400,5.8122206
17031720500,9.5907928
17031720600,11.6202946
17031720700,48.7313433
17031730100,19.2609183
17031730201,57.4383803
17031730202,32.6530612
17031730300,32.1428571
17031730400,21.5758468
17031730500,17.6664469
