GEOID,perc_below_poverty_2017
17031804511,21.7
17031804603,4.7
17031804606,1.7
17031804607,4.6
17031804608,5.6
17031804609,1.8
17031804610,6.6
17031804611,2.7
17031804701,8.8
17031804705,8.6
17031804706,3.8
17031804709,7.1
17031804710,2.7
17031804711,11.8
17031804712,5.4
17031804713,6.9
17031804714,4.2
17031804715,9.3
17031804716,5.4
17031804803,1.9
17031804804,7.2
17031804805,3.9
17031804806,8
17031804807,5.7
17031804808,6
17031804809,3
17031804810,11.4
17031804901,4.7
17031804902,5.3
17031805001,2.4
17031805002,10.1
17031805105,13.7
17031805106,9.5
17031805107,10.1
17031805108,5.4
17031805109,6.2
17031805110,6.5
17031805111,7.7
17031805112,4
17031805201,1
17031805202,4.5
17031805301,7.2
17031805302,6.3
17031805401,7.1
17031805402,7.3
17031805501,8.1
17031805502,5.6
17031805600,2.7
17031805701,2.6
17031805702,3.2
17031805801,4.5
17031805802,2.7
17031805901,6.5
17031805902,10.5
17031806001,7.6
17031806002,21.4
17031806003,4.8
17031806004,10.6
17031806102,7.9
17031806103,7.2
17031806104,24.6
17031806201,7
17031806202,11.3
17031806300,6.2
17031806400,20.9
17031806501,13.2
17031806502,7.9
17031806600,6.9
17031806700,1.9
17031806801,13.7
17031806802,4.1
17031806900,11.1
17031807000,13.4
17031807100,2.9
17031807200,6.3
17031807300,12.9
17031807400,13.6
17031807500,1.9
17031807600,7.6
17031807700,20.6
17031807800,3.9
17031807900,6
17031808001,7
17031808002,3.5
17031808100,10.6
17031808200,9
17031808301,11.1
17031808302,3.8
17031808400,3.6
17031808500,9.9
17031808600,3
17031808702,23.2
17031808800,7.7
17031808900,5.1
17031809000,1.9
17031809100,2.9
17031809200,25.8
17031809300,46.2
17031809400,21.9
17031809500,21.3
17031809600,12.6
17031809700,5
17031809800,16.9
17031809900,3.5
17031810000,7.8
17031810100,10.6
17031810200,9
17031810301,11.8
17031810302,5.7
17031810400,3.8
17031810501,8.7
17031810502,9.1
17031810600,13.2
17031810701,17.9
17031810702,7.8
17031810800,8
17031810900,5.3
17031811000,7.3
17031811100,13.2
17031811200,9.8
17031811301,7.9
17031811302,27.6
17031811401,7.2
17031811402,6.5
17031811500,5.5
17031811600,19.4
17031811701,18.2
17031811702,18.3
17031811800,10.3
17031811900,5.4
17031812000,3.8
17031812100,6.4
17031812200,3.2
17031812301,9.5
17031812302,11.2
17031812400,3.5
17031812500,18
17031812600,12.7
17031812700,12.2
17031812801,13.3
17031812802,8.5
17031812900,7.1
17031813000,4.8
17031813100,6.7
17031813200,5.4
17031813301,22.7
17031813302,20
17031813400,25.6
17031813500,12.8
17031813600,24.4
17031813701,27
17031813702,22.1
17031813801,9.3
17031813802,16
17031813900,22.4
17031814000,14.6
17031814100,22.5
17031814200,23.3
17031814300,19.3
17031814400,24.1
17031814500,5.8
17031814600,19.1
17031814700,15.6
17031814800,7.3
17031814900,17
17031815000,11.4
17031815100,12.4
17031815200,14.1
17031815300,8.2
17031815400,10.6
17031815500,10.4
17031815600,11.5
17031815701,2.7
17031815702,7.7
17031815800,7.3
17031815900,11.2
17031816000,9.7
17031816100,9.4
17031816200,12.7
17031816300,11.9
17031816401,19.5
17031816402,13.1
17031816500,25.6
17031816600,16.6
17031816700,16.5
17031816800,8
17031816900,10.4
17031817000,13.3
17031817101,12.4
17031817102,10.8
17031817200,17.4
17031817300,48.8
17031817400,18.8
17031817500,23.2
17031817600,9
17031817700,12.7
17031817900,9.3
17031818000,8.7
17031818100,4.6
17031818200,7.3
17031818300,10.5
17031818401,6.6
17031818402,7.5
17031818500,4.6
17031818600,8
17031818700,10.9
17031818800,3.2
17031818900,5.1
17031819000,3.2
17031819100,9.3
17031819200,17.4
17031819300,6.1
17031819400,12.6
17031819500,10.3
17031819600,2.7
17031819700,2
17031819801,1.3
17031819802,4
17031819900,2.8
