GEOID,perc_insured_2016
17031822102,89.5
17031822200,87.7
17031822301,92.8
17031822302,90.5
17031822400,89.1
17031822500,97
17031822601,87.9
17031822602,88.2
17031822701,93.2
17031822702,93.9
17031822801,91
17031822802,96.3
17031822900,81.7
17031823001,89
17031823002,87.7
17031823101,81.6
17031823102,85.6
17031823200,91.3
17031823302,90.6
17031823303,89.4
17031823304,90
17031823400,86.6
17031823500,87.1
17031823602,96.9
17031823603,87.5
17031823604,92.2
17031823605,93.3
17031823702,85.3
17031823703,82.6
17031823704,94.9
17031823705,84.7
17031823801,99.5
17031823803,85.4
17031823805,91.5
17031823806,82.7
17031823901,94
17031823903,96.5
17031823904,97.7
17031824003,95.7
17031824004,98
17031824005,93.7
17031824006,97.7
17031824105,96.5
17031824106,96.5
17031824107,93.2
17031824108,95.5
17031824113,94.1
17031824114,95.6
17031824115,93.5
17031824116,88.5
17031824117,96.2
17031824119,98.3
17031824120,96.4
17031824121,97.7
17031824122,92.2
17031824123,93.4
17031824300,87.9
17031824400,93.5
17031824503,97
17031824505,96.7
17031824506,94.7
17031824507,95.5
17031824601,88.4
17031824602,91.1
17031824701,88.8
17031824702,90.2
17031824800,87.3
17031824900,91.9
17031825000,87.8
17031825200,86
17031825302,84.2
17031825303,94.9
17031825304,93
17031825400,93.3
17031825501,90.4
17031825503,92.3
17031825504,93.4
17031825505,91.3
17031825600,86.9
17031825700,89.3
17031825801,84.2
17031825802,85.5
17031825803,89.8
17031825900,87.8
17031826000,79.8
17031826100,85
17031826201,83.6
17031826202,80
17031826301,82.7
17031826303,86
17031826304,83.3
17031826401,80.8
17031826402,88.2
17031826500,84.5
17031826600,87.9
17031826700,89.5
17031826800,85.8
17031826901,85.5
17031826902,82.4
17031827000,79.6
17031827100,82.7
17031827200,81.1
17031827300,84.6
17031827400,85.2
17031827500,77.4
17031827600,87.4
17031827700,86.2
17031827801,91.6
17031827802,89
17031827804,94.1
17031827805,96.5
17031827901,90.9
17031827902,91.1
17031828000,93.5
17031828100,91.8
17031828201,90.1
17031828202,91.9
17031828300,89.1
17031828401,92.4
17031828402,90.9
17031828503,88.9
17031828504,85.4
17031828505,80.7
17031828506,90
17031828601,95.2
17031828602,94.4
17031828701,91.7
