GEOID,perc_hs_grad_2019
17031842500,78.4
17031842600,77.3
17031842800,65.6
17031842900,73.1
17031843000,69.3
17031843100,89.5
17031843200,74.9
17031843300,74.1
17031843400,78.6
17031843500,55.7
17031843600,88.9
17031843700,83.8
17031843800,87.7
17031843900,86.1
17031980000,0
17031980100,0
17031990000,0
