GEOID,YEAR,house_value
"Census Tract 2229, Cook County, Illinois!!Estimate",2016,238400
"Census Tract 2301, Cook County, Illinois!!Estimate",2016,305400
"Census Tract 2302, Cook County, Illinois!!Estimate",2016,244800
"Census Tract 2303, Cook County, Illinois!!Estimate",2016,189100
"Census Tract 2304, Cook County, Illinois!!Estimate",2016,161000
"Census Tract 2305, Cook County, Illinois!!Estimate",2016,164800
"Census Tract 2306, Cook County, Illinois!!Estimate",2016,130100
"Census Tract 2307, Cook County, Illinois!!Estimate",2016,141300
"Census Tract 2308, Cook County, Illinois!!Estimate",2016,182000
"Census Tract 2309, Cook County, Illinois!!Estimate",2016,226200
"Census Tract 2311, Cook County, Illinois!!Estimate",2016,119600
"Census Tract 2312, Cook County, Illinois!!Estimate",2016,162200
"Census Tract 2315, Cook County, Illinois!!Estimate",2016,236700
"Census Tract 2402, Cook County, Illinois!!Estimate",2016,606200
"Census Tract 2403, Cook County, Illinois!!Estimate",2016,657500
"Census Tract 2405, Cook County, Illinois!!Estimate",2016,360100
"Census Tract 2406, Cook County, Illinois!!Estimate",2016,366400
"Census Tract 2407, Cook County, Illinois!!Estimate",2016,294100
"Census Tract 2408, Cook County, Illinois!!Estimate",2016,287900
"Census Tract 2409, Cook County, Illinois!!Estimate",2016,298100
"Census Tract 2410, Cook County, Illinois!!Estimate",2016,238000
"Census Tract 2411, Cook County, Illinois!!Estimate",2016,316000
"Census Tract 2412, Cook County, Illinois!!Estimate",2016,539400
"Census Tract 2413, Cook County, Illinois!!Estimate",2016,514100
"Census Tract 2414, Cook County, Illinois!!Estimate",2016,462200
"Census Tract 2415, Cook County, Illinois!!Estimate",2016,489500
"Census Tract 2416, Cook County, Illinois!!Estimate",2016,396600
"Census Tract 2420, Cook County, Illinois!!Estimate",2016,473500
"Census Tract 2421, Cook County, Illinois!!Estimate",2016,467400
"Census Tract 2422, Cook County, Illinois!!Estimate",2016,486800
"Census Tract 2423, Cook County, Illinois!!Estimate",2016,453600
"Census Tract 2424, Cook County, Illinois!!Estimate",2016,438400
"Census Tract 2425, Cook County, Illinois!!Estimate",2016,321800
"Census Tract 2426, Cook County, Illinois!!Estimate",2016,329200
"Census Tract 2427, Cook County, Illinois!!Estimate",2016,272800
"Census Tract 2428, Cook County, Illinois!!Estimate",2016,340900
"Census Tract 2429, Cook County, Illinois!!Estimate",2016,450000
"Census Tract 2430, Cook County, Illinois!!Estimate",2016,361700
"Census Tract 2431, Cook County, Illinois!!Estimate",2016,373700
"Census Tract 2432, Cook County, Illinois!!Estimate",2016,518900
"Census Tract 2433, Cook County, Illinois!!Estimate",2016,379400
"Census Tract 2434, Cook County, Illinois!!Estimate",2016,332800
"Census Tract 2435, Cook County, Illinois!!Estimate",2016,364300
"Census Tract 2502, Cook County, Illinois!!Estimate",2016,162300
"Census Tract 2503, Cook County, Illinois!!Estimate",2016,174400
"Census Tract 2504, Cook County, Illinois!!Estimate",2016,141400
"Census Tract 2505, Cook County, Illinois!!Estimate",2016,237600
"Census Tract 2506, Cook County, Illinois!!Estimate",2016,181700
"Census Tract 2507, Cook County, Illinois!!Estimate",2016,151400
"Census Tract 2508, Cook County, Illinois!!Estimate",2016,158500
"Census Tract 2510, Cook County, Illinois!!Estimate",2016,124400
"Census Tract 2511, Cook County, Illinois!!Estimate",2016,124600
"Census Tract 2512, Cook County, Illinois!!Estimate",2016,155900
"Census Tract 2513, Cook County, Illinois!!Estimate",2016,136600
"Census Tract 2514, Cook County, Illinois!!Estimate",2016,194100
"Census Tract 2515, Cook County, Illinois!!Estimate",2016,133800
"Census Tract 2516, Cook County, Illinois!!Estimate",2016,97700
