,census_tract,EDU_2016
1011,8195,21.3
1012,8196,13.6
1013,8197,10
1014,8198.01,7.3
1015,8198.02,20.3
1016,8199,11
1017,8200,8.4
1018,8201.01,24
1019,8201.03,27.7
1020,8201.04,28.4
1021,8202.01,20
1022,8202.02,21.2
1023,8203,23.3
1024,8204,20.9
1025,8205.01,38.3
1026,8205.02,16.5
1027,8206.03,17.7
1028,8206.04,24.3
1029,8206.05,31.6
1030,8206.06,31.8
1031,8207,7.6
1032,8208,17.5
1033,8209.01,16
1034,8209.02,24
1035,8210.01,32.7
1036,8210.02,19
1037,8211.01,28.3
1038,8211.02,18
1039,8212,18.7
1040,8213,26
1041,8214.01,29.3
1042,8214.02,35.7
1043,8215,18.6
1044,8216,25.9
1045,8217,23.8
1046,8218,30
1047,8219,18.7
1048,8220,33.9
1049,8221.01,23.5
1050,8221.02,34.9
1051,8222,27.5
1052,8223.01,31.5
1053,8223.02,38
1054,8224,21.5
1055,8225,23.8
1056,8226.01,26.3
1057,8226.02,30
1058,8227.01,32.3
1059,8227.02,27.3
1060,8228.01,37.7
1061,8228.02,33
1062,8229,27.4
1063,8230.01,34.2
1064,8230.02,20.2
1065,8231.01,26.4
1066,8231.02,35.6
1067,8232,26.2
1068,8233.02,18.6
1069,8233.03,33.4
1070,8233.04,26.7
1071,8234,32.5
1072,8235,20.5
1073,8236.02,34.6
1074,8236.03,14.8
1075,8236.04,21.4
1076,8236.05,39.1
1077,8237.02,28.8
1078,8237.03,20.8
1079,8237.04,23.7
1080,8237.05,33
1081,8238.01,23.2
1082,8238.03,40.6
1083,8238.05,32.8
1084,8238.06,31.5
1085,8239.01,25.4
1086,8239.03,34.7
1087,8239.04,19.6
1088,8240.03,27.6
1089,8240.04,17.3
1090,8240.05,25.8
1091,8240.06,26.8
1092,8241.05,22.4
1093,8241.06,31.1
1094,8241.07,25.2
1095,8241.08,29.8
1096,8241.13,20.3
1097,8241.14,22.4
1098,8241.15,22.8
1099,8241.16,22.1
1100,8241.17,24.1
1101,8241.19,23.3
1102,8241.20,16.4
1103,8241.21,26.2
1104,8241.22,34.6
1105,8241.23,29.7
1106,8243,28.9
1107,8244,17.5
1108,8245.03,37.5
1109,8245.05,29.7
1110,8245.06,27.8
1111,8245.07,26.8
1112,8246.01,29.1
1113,8246.02,21.1
1114,8247.01,11.5
1115,8247.02,23.2
1116,8248,15.4
1117,8249,36.9
1118,8250,21.3
1119,8252,24.3
1120,8253.02,29.2
1121,8253.03,25.5
1122,8253.04,27.9
1123,8254,22.8
1124,8255.01,22.1
1125,8255.03,24.5
1126,8255.04,23.6
1127,8255.05,34.9
1128,8256,21.3
1129,8257,22.3
1130,8258.01,31.5
1131,8258.02,30
1132,8258.03,34.7
1133,8259,12.2
