GEOID,perc_college_grad_2017
17031803800,24.5
17031803901,32.7
17031803902,15.8
17031804000,23.1
17031804102,41.8
17031804104,37.8
17031804105,36.6
17031804106,36.7
17031804108,47.9
17031804109,32.2
17031804201,37.3
17031804202,33.9
17031804305,13.8
17031804306,10.1
17031804308,23.9
17031804309,16.6
17031804310,27.2
17031804311,27.4
17031804403,20.1
17031804404,15.7
17031804405,10.9
17031804406,15.2
17031804505,22.4
17031804506,26.9
17031804507,34.3
17031804508,12.6
17031804509,12.3
17031804510,6.9
17031804511,15.2
17031804603,32.1
17031804606,25.8
17031804607,24.6
17031804608,31.4
17031804609,34.3
17031804610,34.8
17031804611,32
17031804701,33.4
17031804705,27.7
17031804706,29
17031804709,22.8
17031804710,32.4
17031804711,33.6
17031804712,25
17031804713,30.2
17031804714,29.8
17031804715,20
17031804716,26.3
17031804803,25.5
17031804804,22.7
17031804805,25.1
17031804806,10.4
17031804807,21
17031804808,30.8
17031804809,29
17031804810,24
17031804901,31.3
17031804902,27.9
17031805001,35.5
17031805002,25
17031805105,17.7
17031805106,28.3
17031805107,20
17031805108,26.3
17031805109,24.7
17031805110,32.8
17031805111,23.6
17031805112,21.8
17031805201,18.6
17031805202,29.4
17031805301,25.5
17031805302,33
17031805401,24.2
17031805402,20.2
17031805501,35.8
17031805502,32.5
17031805600,37.3
17031805701,37.4
17031805702,38.7
17031805801,26.3
17031805802,30.4
17031805901,27
17031805902,32.8
17031806001,20.8
17031806002,21.2
17031806003,29
17031806004,20.1
17031806102,28.8
17031806103,28
17031806104,26
17031806201,28.3
17031806202,26.2
17031806300,23.4
17031806400,16.1
17031806501,22.5
17031806502,21.9
17031806600,21.7
17031806700,32.1
17031806801,24.4
17031806802,28.8
17031806900,26.5
17031807000,20.5
17031807100,30.6
17031807200,31.5
17031807300,31.4
17031807400,25.7
17031807500,33.7
17031807600,29.5
17031807700,30.7
17031807800,29.8
17031807900,32.7
17031808001,31
17031808002,34.9
17031808100,22.4
17031808200,22.1
17031808301,25.5
17031808302,35.3
17031808400,25.5
17031808500,28
17031808600,28.1
17031808702,29.1
17031808800,39.2
17031808900,29
17031809000,34.2
17031809100,29.5
17031809200,14.2
17031809300,29
17031809400,27.1
17031809500,31.8
17031809600,25
17031809700,20.8
17031809800,28.1
17031809900,32.7
17031810000,37.9
17031810100,33.8
17031810200,19.9
17031810301,27.2
17031810302,33.1
17031810400,31.2
17031810501,20.4
17031810502,15.4
17031810600,24.9
17031810701,12.5
17031810702,15.5
17031810800,18.9
17031810900,12.9
17031811000,27.9
17031811100,13.8
17031811200,14.8
17031811301,11.6
17031811302,4.6
17031811401,14.1
17031811402,16.5
17031811500,15.3
17031811600,12.3
17031811701,13
17031811702,11.8
17031811800,8.5
17031811900,35
17031812000,38.5
17031812100,26.7
17031812200,28.5
17031812301,32.8
17031812302,33
17031812400,27.9
17031812500,30.8
17031812600,30.7
17031812700,27.4
17031812801,28.8
17031812802,32.7
17031812900,34.8
17031813000,31.8
17031813100,30
17031813200,29.1
17031813301,8.2
17031813302,3.9
17031813400,8.7
17031813500,8.7
17031813600,8.7
17031813701,2.9
17031813702,4.8
17031813801,5.7
17031813802,5.3
17031813900,5.2
17031814000,6.5
17031814100,4.3
17031814200,6.8
17031814300,7.2
17031814400,6.6
17031814500,11
17031814600,9.1
17031814700,17.2
17031814800,17.1
17031814900,13
17031815000,14
17031815100,13.2
17031815200,15.1
17031815300,13.5
17031815400,21.1
17031815500,15.5
17031815600,16.8
17031815701,38
17031815702,25.6
17031815800,28.1
17031815900,25.8
17031816000,32.3
17031816100,24
17031816200,11.2
17031816300,10.2
17031816401,4.8
17031816402,8.5
17031816500,6.9
17031816600,7.4
17031816700,7.5
17031816800,14.6
17031816900,13.9
17031817000,8.3
17031817101,11.9
17031817102,9.1
17031817200,7
17031817300,4.8
17031817400,11.4
17031817500,3.7
17031817600,10.2
17031817700,14.7
17031817900,14
17031818000,16.5
17031818100,23.8
17031818200,21.8
17031818300,8
17031818401,19
17031818402,26.2
17031818500,27.4
17031818600,25.7
17031818700,30
17031818800,28.8
17031818900,26.5
17031819000,40.1
17031819100,13.2
17031819200,10.4
17031819300,16.6
17031819400,16.3
17031819500,22.1
17031819600,30.1
17031819700,44
17031819801,42.3
17031819802,43.6
17031819900,40.1
17031820000,38.8
17031820101,33.6
17031820103,20.4
17031820104,23.1
17031820201,29
17031820202,15.8
17031820300,11.5
17031820400,7.4
17031820501,15.4
17031820502,10
17031820603,7.4
17031820604,5.4
17031820605,9.2
17031820606,24.2
17031820700,9
17031820800,8.2
17031820901,9.4
17031820902,7.5
17031821001,9.9
17031821002,9.4
17031821101,12.5
17031821102,14.8
17031821200,6.4
17031821300,12.3
17031821401,10
17031821402,10.1
17031821500,6.7
17031821600,17.9
17031821700,29.8
17031821800,22.1
17031821900,19.4
17031822000,11.9
17031822101,19.3
17031822102,11.3
17031822200,18
17031822301,20.8
17031822302,17.5
17031822400,13.2
17031822500,14.3
17031822601,19.4
17031822602,19.1
17031822701,24.4
17031822702,22.3
17031822801,20.7
17031822802,23.9
17031822900,5.6
17031823001,12.6
17031823002,9.6
17031823101,12
17031823102,7.5
17031823200,12.9
17031823302,11.9
17031823303,12.1
17031823304,14.7
17031823400,9.4
17031823500,14.7
17031823602,19.5
17031823603,12.1
17031823604,25.7
17031823605,20.6
17031823702,14.1
17031823703,11.9
17031823704,21.5
17031823705,17.1
17031823801,26.5
17031823803,15
17031823805,18.7
17031823806,12.8
17031823901,24.2
17031823903,30.7
17031823904,20.5
17031824003,26.9
17031824004,19.8
17031824005,29.1
17031824006,26.7
17031824105,30
17031824106,26
17031824107,22.3
17031824108,17.7
17031824113,29.4
17031824114,26.7
17031824115,15.4
17031824116,20
17031824117,25.4
17031824119,27.9
17031824120,31.3
17031824121,29.6
17031824122,31.5
17031824123,18.3
17031824300,6.2
17031824400,6.7
17031824503,25
17031824505,19.1
17031824506,17.5
17031824507,18.7
17031824601,13.5
17031824602,17.7
17031824701,11.5
17031824702,9.9
17031824800,12.3
17031824900,9.9
17031825000,15.6
17031825200,7.1
17031825302,11.2
17031825303,17.5
17031825304,22.6
17031825400,20.8
17031825501,10.1
17031825503,29.1
17031825504,8.2
17031825505,19.9
17031825600,7.8
17031825700,9.1
17031825801,10.6
17031825802,12.5
17031825803,15.9
17031825900,14.5
17031826000,4
17031826100,10
17031826201,17.7
17031826202,9.9
17031826301,8.7
17031826303,15.7
17031826304,9.9
17031826401,14.4
17031826402,12.6
17031826500,9.3
17031826600,11
17031826700,11.2
17031826800,5.7
17031826901,2.6
17031826902,4
17031827000,12.1
17031827100,9.4
17031827200,11.1
17031827300,3.6
17031827400,5.5
17031827500,6.7
17031827600,7.7
17031827700,12.9
17031827801,13.6
17031827802,19.7
17031827804,23.1
17031827805,16.3
17031827901,12.9
17031827902,14.2
17031828000,13.5
17031828100,18.5
17031828201,18.4
17031828202,18
17031828300,12.7
17031828401,30
17031828402,20.8
17031828503,8.3
17031828504,11.9
17031828505,17.3
17031828506,16.9
17031828601,25.3
17031828602,29.5
17031828701,17.9
17031828702,15.8
17031828801,22
17031828802,15.1
17031828900,4.2
17031829000,5.8
17031829100,4.8
17031829200,7.5
17031829301,21.4
17031829302,8.9
17031829401,12.7
17031829402,12
17031829500,3.9
17031829600,7.1
17031829700,5
17031829800,25.7
17031829901,17.2
17031829902,21
17031830001,7.7
17031830003,24.1
17031830004,22.1
17031830005,24.6
17031830006,26.1
17031830007,15
17031830008,23
17031830100,19.7
17031830201,20.6
17031830202,15.2
17031830300,14.3
17031830400,19.4
17031830500,4.4
17031830600,29.7
17031830700,29.6
17031830800,43.9
17031830900,43
17031831000,46.3
17031831100,16.3
17031831200,11.6
17031831300,9
17031831400,8.9
17031831500,13.2
17031831600,9.2
17031831700,21.3
17031831800,29.8
17031831900,52.2
17031832000,56.5
17031832100,45.7
17031832200,34.2
17031832300,41.2
17031832400,44.3
17031832500,43.3
17031832600,51.9
17031832900,40.7
17031833000,49.3
17031833100,39.2
17031833300,28.5
17031833900,4.3
17031834000,9.2
17031834200,12.9
17031834300,16.7
17031834400,13.8
17031834500,12.5
17031834600,2.7
17031834700,4.1
17031834800,7.9
17031834900,8.2
17031835000,4.5
