PERMIT#,PERMIT_TYPE,REVIEW_TYPE,ISSUE_DATE,STREET_NUMBER,STREET DIRECTION,STREET_NAME,SUFFIX,COMMUNITY_AREA,CENSUS_TRACT,WARD
100839277,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/9/19,3243,W,23RD,ST,30,300800,12
100839278,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/9/19,1533,W,FARGO,AVE,1,10300,49
100839281,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/4/19,130,E,RANDOLPH,ST,32,320100,42
100839282,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/6/19,2845,W,IRVING PARK,RD,16,160700,33
100839283,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/9/19,2253,S,LOOMIS,ST,31,843200,25
100839285,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,5517,W,64TH,PL,64,640700,13
100839284,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,10/2/19,6853,S,DR MARTIN L KING JR,DR,69,690500,20
100839286,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/11/19,180,N,STETSON,AVE,32,320100,42
100839288,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/11/19,3939,W,79TH,ST,70,700401,18
100839291,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/4/19,410,S,MORGAN,ST,28,833300,25
100839293,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,6024,W,WARWICK,AVE,17,170200,38
100839294,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,1859,S,PULASKI,RD,29,292400,24
100839296,PERMIT - SIGNS,SIGN PERMIT,11/7/19,4800,N,SHERIDAN,RD,3,31200,46
100839297,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,3142,N,NEWCASTLE,AVE,18,180100,36
