,census_tract,MHI_2016
506,5301,"24,604"
507,5302,"27,073"
508,5303,"42,684"
509,5304,"55,042"
510,5305.01,"39,500"
511,5305.02,"41,625"
512,5305.03,"35,089"
513,5306,"25,956"
514,5401.01,"14,556"
515,5401.02,"14,273"
516,5501,"52,485"
517,5502,"71,058"
518,5601,"60,625"
519,5602,"46,369"
520,5603,"50,862"
521,5604,"51,375"
522,5607,"53,264"
523,5608,"61,808"
524,5609,"79,931"
525,5610,"81,935"
526,5611,"77,667"
527,5701,"53,542"
528,5702,"53,690"
529,5703,"44,706"
530,5704,"42,500"
531,5705,"41,250"
532,5801,"40,199"
533,5802,"39,722"
534,5803,"40,743"
535,5804,"36,279"
536,5805.01,"40,254"
537,5805.02,"41,081"
538,5806,"42,436"
539,5807,"38,452"
540,5808,"31,688"
541,5905,"49,358"
542,5906,"39,726"
543,5907,"43,698"
544,6004,"32,682"
545,6006,"32,377"
546,6007,"31,982"
547,6009,"44,900"
548,6103,"33,631"
549,6104,"21,678"
550,6108,"44,083"
551,6110,"20,761"
552,6111,"22,969"
553,6112,"26,727"
554,6113,"26,289"
555,6114,"32,949"
556,6115,"27,622"
557,6116,"31,250"
558,6117,"26,985"
559,6118,"27,880"
560,6119,"25,609"
561,6120,"25,855"
562,6121,"23,906"
563,6201,"45,000"
564,6202,"50,990"
565,6203,"51,281"
566,6204,"52,045"
567,6301,"29,375"
568,6302,"32,331"
569,6303,"48,068"
570,6304,"33,509"
571,6305,"43,318"
572,6308,"41,379"
573,6309,"43,636"
574,6401,"60,500"
575,6403,"70,849"
576,6404,"77,111"
577,6405,"70,424"
578,6406,"40,054"
579,6407,"52,879"
580,6408,"50,795"
581,6501,"40,901"
582,6502,"53,365"
583,6503.01,"57,639"
584,6503.02,"46,436"
585,6504,"51,404"
586,6505,"55,556"
587,6603.01,"22,422"
588,6603.02,"32,083"
589,6604,"43,783"
590,6605,"39,942"
591,6606,"27,712"
592,6607,"27,156"
593,6608,"35,338"
594,6609,"25,846"
595,6610,"31,329"
596,6611,"45,313"
597,6701,"35,647"
598,6702,"24,408"
599,6703,"22,381"
600,6704,"25,786"
601,6705,"27,589"
602,6706,"20,119"
603,6707,"24,911"
604,6708,"22,000"
605,6709,"34,583"
606,6711,"27,266"
607,6712,"19,205"
608,6713,"33,947"
609,6714,"26,094"
610,6715,"25,133"
611,6716,"24,427"
612,6718,"36,042"
613,6719,"42,670"
614,6720,"39,055"
615,6805,"22,844"
616,6806,"27,841"
617,6809,"15,485"
618,6810,"15,139"
619,6811,"16,862"
620,6812,"22,163"
621,6813,"22,972"
622,6814,"35,476"
623,6903,"18,875"
624,6904,"26,070"
625,6905,"29,844"
626,6909,"34,609"
627,6910,"52,632"
628,6911,"20,431"
629,6912,"28,472"
630,6913,"36,818"
631,6914,"25,461"
632,6915,"22,250"
633,7001,"64,470"
634,7002,"52,996"
