,census_tract,EDU_2019
1106,8243,24.9
1107,8244,25.2
1108,8245.03,36.4
1109,8245.05,27
1110,8245.06,35
1111,8245.07,22.6
1112,8246.01,16.4
1113,8246.02,23.2
1114,8247.01,13.8
1115,8247.02,22.3
1116,8248,10.2
1117,8249,19
1118,8250,39.3
1119,8252,15.3
1120,8253.02,25.1
1121,8253.03,23.6
1122,8253.04,27.4
1123,8254,27.2
1124,8255.01,24.2
1125,8255.03,19.6
1126,8255.04,19.1
1127,8255.05,35.9
1128,8256,15.8
1129,8257,19.7
1130,8258.01,20
1131,8258.02,19.6
1132,8258.03,18.7
1133,8259,25.1
1134,8260,11
1135,8261,25.4
1136,8262.01,41.7
1137,8262.02,38.8
1138,8263.01,20.2
1139,8263.03,23.1
1140,8263.04,23.8
1141,8264.01,28.7
1142,8264.02,17.5
1143,8265,20.4
1144,8266,17.3
1145,8267,19.9
1146,8268,19.5
1147,8269.01,15.3
1148,8269.02,5.5
1149,8270,24.8
1150,8271,26
1151,8272,16.5
1152,8273,19.3
1153,8274,19.4
1154,8275,18.6
1155,8276,20.5
1156,8277,25
1157,8278.01,20.2
1158,8278.02,27.4
1159,8278.04,18
1160,8278.05,27.1
1161,8279.01,33.9
1162,8279.02,16.6
1163,8280,22.6
1164,8281,27.4
1165,8282.01,23.5
1166,8282.02,27.8
1167,8283,34
1168,8284.01,32.4
1169,8284.02,19.3
1170,8285.03,21.2
1171,8285.04,24.2
1172,8285.05,15.1
1173,8285.06,40.4
1174,8286.01,27.6
1175,8286.02,21.6
1176,8287.01,19.3
1177,8287.02,24.7
1178,8288.01,12.9
1179,8288.02,27.4
1180,8289,12.3
1181,8290,10.7
1182,8291,14.6
1183,8292,25.7
1184,8293.01,28.3
1185,8293.02,16.7
1186,8294.01,13.4
1187,8294.02,20
1188,8295,22.1
1189,8296,18.2
1190,8297,20.2
1191,8298,20.4
1192,8299.01,31.7
1193,8299.02,34.8
1194,8300.01,13.6
1195,8300.03,26.3
1196,8300.04,38.9
1197,8300.05,22
1198,8300.06,33.9
1199,8300.07,24.9
1200,8300.08,34.8
1201,8301,18.9
1202,8302.01,40
1203,8302.02,17.7
1204,8303,11.9
1205,8304,27.7
1206,8305,19.5
1207,8306,30.7
1208,8307,39.2
1209,8308,56.8
1210,8309,39
1211,8310,41.3
1212,8311,26.4
1213,8312,20.2
1214,8313,17.7
1215,8314,27.6
1216,8315,41
1217,8316,22.8
1218,8317,35.8
1219,8318,54.3
1220,8319,42
1221,8320,88.2
1222,8321,55.9
1223,8322,42.4
1224,8323,37.6
1225,8324,32.6
1226,8325,40.3
1227,8326,46.6
1228,8329,93.1
1229,8330,33.4
1230,8331,35.2
1231,8333,92.6
1232,8339,14.7
1233,8340,26
1234,8342,7.4
1235,8343,48.3
1236,8344,21.1
1237,8345,22.9
1238,8346,16.7
1239,8347,25.3
1240,8348,25.7
1241,8349,7.3
1242,8350,7.1
1243,8351,8.5
1244,8352,24.6
1245,8355,21.7
1246,8356,5.4
1247,8357,16.7
1248,8358,16
1249,8359,13.7
1250,8360,24.7
1251,8361,24.7
1252,8362,97
1253,8363,51.8
1254,8364,22.2
1255,8365,7.5
1256,8366,38.6
1257,8367,20.6
1258,8368,8.9
1259,8369,25.4
1260,8370,9.5
1261,8371,51.8
1262,8373,7.7
1263,8374,9.9
1264,8378,29.5
1265,8380,43.7
1266,8381,77.9
1267,8382,78.2
1268,8383,49.8
1269,8386,31.6
1270,8387,15
1271,8388,14.5
1272,8390,80
1273,8391,91.2
1274,8392,67.9
1275,8395,80.4
1276,8396,48.9
1277,8397,41.6
1278,8398,48.1
1279,8399,36.6
1280,8400,34.6
1281,8401,33.8
1282,8402,32.1
1283,8403,18.4
1284,8404,36.1
1285,8407,15.9
1286,8408,29.2
1287,8410,51.5
1288,8411,29.6
1289,8412,31
1290,8413,34.1
1291,8414,29.7
1292,8415,9.5
1293,8416,14.6
1294,8417,15.1
1295,8418,19.9
1296,8419,91
1297,8420,95.7
1298,8421,11.6
1299,8422,43.9
1300,8423,42.2
1301,8424,21.2
1302,8425,12.7
1303,8426,25.3
1304,8428,13.4
1305,8429,11.5
1306,8430,22
1307,8431,13.3
1308,8432,36.3
1309,8433,30.9
1310,8434,6.8
1311,8435,25.2
1312,8436,16.5
1313,8437,20.4
1314,8438,6.5
1315,8439,44.2
1316,9800,-
1317,9801,-
1318,9900,-
