,census_tract,median_household_income_in_past_12_months
666,7303,"47,969"
667,7304,"80,787"
668,7305,"57,357"
669,7306,"43,274"
670,7307,"51,957"
671,7401,"93,217"
672,7402,"105,655"
673,7403,"127,069"
674,7404,"85,064"
675,7501,"43,277"
676,7502,"80,561"
677,7503,"100,595"
678,7504,"97,305"
679,7505,"55,750"
680,7506,"42,949"
681,7608.01,"68,159"
682,7608.02,"54,177"
683,7608.03,"44,918"
684,7702.01,"64,215"
685,7702.02,"66,672"
686,7703,"82,196"
687,7704,"77,205"
688,7705,"41,663"
689,7706.01,"96,442"
690,7706.02,"71,103"
691,7707,"57,368"
692,7708,"58,147"
693,7709.01,"75,519"
694,7709.02,"61,466"
695,8001,"250,000+"
696,8002,"224,766"
697,8003,"207,500"
698,8004,"250,000+"
699,8005,"237,604"
700,8006,"238,182"
701,8007,"200,852"
702,8008,"98,125"
703,8009,"122,857"
704,8010,"122,743"
705,8011,"184,375"
706,8012,"226,563"
707,8013,"164,306"
708,8014,"134,803"
709,8015,"98,942"
710,8016.01,"111,082"
711,8016.03,"52,951"
712,8016.05,"136,094"
713,8016.06,"119,113"
714,8016.07,"94,808"
715,8016.08,"116,432"
716,8017.01,"186,111"
717,8017.02,"120,529"
718,8018,"151,136"
719,8019.01,"93,207"
720,8019.02,"163,649"
721,8020.02,"126,250"
722,8020.03,"105,066"
723,8020.04,"37,406"
724,8021,"151,094"
725,8022,"125,375"
726,8023,"126,765"
727,8024.02,"63,575"
728,8024.03,"70,511"
729,8024.04,"55,441"
730,8025.03,"81,543"
731,8025.04,"83,463"
732,8025.05,"56,479"
733,8025.06,"85,648"
734,8026.05,"98,769"
735,8026.07,"123,889"
736,8026.08,"66,208"
737,8026.09,"55,354"
738,8026.10,"93,194"
739,8027.01,"94,709"
740,8027.02,"86,034"
741,8028.01,"107,571"
742,8028.02,"109,223"
743,8029,"142,900"
744,8030.05,"74,375"
745,8030.07,"106,838"
746,8030.08,"113,179"
747,8030.10,"113,750"
748,8030.12,"74,750"
749,8030.13,"90,098"
750,8030.14,"70,505"
751,8030.15,"79,596"
752,8030.16,"102,679"
753,8030.17,"93,279"
754,8031,"121,875"
755,8032,"91,009"
756,8033,"108,891"
757,8034,"125,899"
758,8035,"114,375"
759,8036.03,"169,425"
760,8036.04,"79,853"
761,8036.05,"78,611"
762,8036.06,"51,429"
763,8036.07,"109,516"
764,8036.08,"67,380"
765,8036.10,"65,569"
766,8036.11,"68,184"
767,8036.12,"61,426"
768,8037.01,"89,896"
769,8037.02,"109,234"
770,8038,"93,262"
771,8039.01,"70,976"
772,8039.02,"90,750"
