zipcode,male_2019,white_2019,median_age_2019
61074,0.47,0.95,49.50
61075,0.52,0.97,49.10
61077,0.52,1.00,-
61078,0.49,0.97,41.80
61079,0.59,0.98,42.10
61080,0.48,0.90,36.50
61081,0.49,0.90,43.00
61084,0.48,0.97,46.40
61085,0.50,0.97,45.60
61087,0.49,0.95,48.40
61088,0.50,0.97,44.20
61089,0.51,1.00,38.70
61091,0.46,1.00,25.20
61101,0.49,0.56,34.60
61102,0.51,0.56,34.10
61103,0.47,0.70,43.60
61104,0.51,0.60,31.10
61107,0.47,0.81,42.70
61108,0.49,0.76,41.30
61109,0.48,0.77,36.60
61111,0.48,0.88,37.80
61112,0.11,1.00,86.00
61114,0.47,0.84,47.10
61115,0.50,0.91,40.60
61201,0.49,0.69,36.00
61230,0.48,0.99,48.60
61231,0.48,0.97,46.80
61232,0.50,0.96,47.50
61234,0.49,0.95,44.70
61235,0.46,0.97,40.50
61236,0.41,0.96,32.50
61238,0.54,0.96,42.10
61239,0.49,0.70,27.60
61240,0.52,0.97,48.10
61241,0.51,0.98,42.30
61242,0.54,0.99,48.00
61243,0.51,1.00,59.30
61244,0.52,0.74,39.80
61250,0.50,0.98,42.60
61251,0.54,1.00,48.10
61252,0.51,0.97,46.10
61254,0.48,0.97,44.40
61256,0.50,0.93,40.30
61257,0.54,0.97,33.40
61258,0.56,1.00,37.60
61259,0.52,0.94,46.10
61260,0.45,1.00,41.50
61261,0.53,1.00,37.50
61262,0.50,0.97,47.60
61263,0.48,0.96,31.80
61264,0.47,0.93,47.10
61265,0.49,0.83,40.70
61270,0.49,0.97,46.20
61272,0.53,0.98,46.50
61273,0.51,0.98,43.40
61274,0.54,1.00,53.40
61275,0.49,0.91,45.30
61276,0.38,1.00,36.60
61277,0.49,0.97,47.90
61278,0.46,0.93,41.50
61279,0.53,0.99,42.40
61281,0.51,0.97,49.30
61282,0.48,0.80,38.50
61283,0.52,0.99,30.60
61284,0.49,0.98,53.50
61285,0.57,0.94,48.70
61301,0.50,0.90,38.00
61310,0.51,0.97,48.10
61311,0.57,1.00,54.30
61312,0.55,0.94,46.80
61313,0.44,1.00,46.20
61314,0.49,0.96,44.40
61315,0.52,1.00,36.30
61316,0.52,1.00,42.80
61317,0.58,1.00,43.60
61318,0.48,0.93,37.90
61319,0.55,0.97,44.80
61320,0.53,0.90,49.90
61321,0.44,1.00,46.30
61322,0.58,0.75,37.50
61323,0.37,1.00,55.10
61324,0.61,1.00,64.50
61325,0.51,0.94,43.00
61326,0.52,0.98,46.30
61327,0.51,0.98,44.60
61328,0.35,1.00,17.50
61329,0.49,0.95,44.00
61330,0.49,0.93,50.60
61331,0.56,1.00,-
61332,0.54,1.00,39.80
61333,0.53,0.95,37.70
61334,0.52,0.94,38.10
61335,0.53,0.97,42.50
61336,0.58,0.96,49.30
61337,0.52,0.96,39.50
61338,0.60,0.99,43.60
61340,0.48,1.00,47.10
61341,0.50,0.98,43.00
61342,0.52,0.91,39.70
61344,0.52,0.97,45.40
61345,0.53,0.97,45.60
61346,0.51,1.00,51.50
61348,0.50,0.94,41.90
61349,0.52,0.99,47.40
61350,0.48,0.91,40.40
61353,0.47,0.99,42.30
61354,0.44,0.95,46.30
61356,0.45,0.96,47.70
61358,0.47,0.99,47.60
61359,0.48,0.95,38.30
61360,0.51,0.99,37.70
61361,0.47,0.97,42.30
61362,0.50,0.86,43.00
61363,0.55,0.93,47.40
61364,0.50,0.93,44.70
61367,0.48,0.99,46.90
61368,0.50,0.97,47.40
61369,0.47,0.96,51.50
61370,0.54,0.97,42.00
61372,0.52,1.00,36.20
61373,0.52,0.95,49.20
61374,0.48,1.00,51.20
61375,0.54,0.97,55.80
61376,0.52,0.98,45.90
61377,0.45,0.98,45.40
61378,0.50,0.99,55.70
61379,0.51,0.93,41.60
61401,0.52,0.80,41.60
61410,0.46,0.96,39.60
61411,0.63,1.00,54.50
61412,0.51,0.93,44.30
61413,0.51,0.98,42.90
61414,0.51,0.96,39.50
61415,0.53,1.00,40.70
61416,0.46,1.00,39.70
61417,0.50,0.99,49.10
61418,0.48,0.99,54.50
61419,0.42,1.00,60.60
61420,0.54,0.93,46.90
61421,0.52,0.98,43.10
61422,0.48,0.98,40.80
61423,0.48,0.99,43.70
61424,0.55,1.00,23.20
61425,0.49,1.00,60.80
61426,0.46,1.00,36.90
61427,0.50,0.97,48.00
61428,0.50,0.95,52.20
61430,0.50,0.98,48.60
61431,0.51,1.00,52.70
61432,0.49,0.99,45.10
61433,0.55,1.00,49.20
61434,0.51,0.97,48.10
61435,0.17,1.00,68.40
61436,0.47,0.89,46.00
61437,0.54,1.00,50.70
61438,0.56,0.99,38.60
61439,0.54,0.96,51.60
61440,0.55,0.99,44.30
61441,0.50,0.96,50.00
61442,0.46,0.98,49.80
61443,0.49,0.86,39.80
61447,0.51,0.98,43.30
61448,0.45,0.98,41.40
61449,0.58,1.00,53.40
61450,0.51,0.99,47.40
61451,0.59,1.00,35.90
61452,0.38,1.00,47.50
61453,0.53,0.93,38.10
61454,0.41,0.98,49.70
61455,0.47,0.86,28.00
61458,0.53,1.00,58.50
61459,0.54,0.95,54.00
61460,0.44,0.99,49.30
61462,0.46,0.84,37.30
61465,0.54,0.98,46.80
61466,0.57,0.98,47.70
61467,0.53,0.96,35.60
61468,0.59,0.94,25.60
61469,0.51,0.96,51.50
61470,0.52,0.89,44.20
61471,0.40,0.92,26.80
61472,0.55,0.98,55.00
61473,0.49,0.94,46.80
61474,0.50,1.00,36.90
61475,0.58,0.99,51.20
61476,0.49,0.94,48.30
61477,0.42,1.00,47.80
61478,0.58,1.00,41.80
61479,0.53,1.00,29.60
61480,0.48,0.98,46.60
61482,0.50,0.99,40.20
61483,0.49,0.95,51.10
61484,0.51,0.98,41.80
61485,0.52,0.99,53.60
61486,0.51,0.96,36.00
61488,0.48,0.97,45.30
61489,0.52,0.99,45.20
61490,0.54,1.00,42.80
61491,0.48,0.98,48.30
61501,0.56,0.98,43.00
61516,0.51,0.99,34.80
61517,0.51,0.97,43.50
61519,0.55,0.95,44.50
61520,0.54,0.90,41.60
61523,0.48,0.94,42.60
61524,0.50,1.00,32.90
61525,0.50,0.73,35.60
61526,0.41,1.00,51.90
61528,0.51,0.89,40.00
61529,0.46,0.97,41.80
61530,0.50,0.95,34.40
61531,0.48,0.97,40.90
61532,0.51,1.00,36.00
61533,0.52,1.00,40.30
61534,0.56,1.00,41.20
61535,0.58,0.95,43.30
61536,0.49,0.97,47.30
61537,0.49,0.95,40.90
61539,0.51,0.99,35.70
61540,0.49,0.98,46.80
61541,0.38,0.90,59.00
61542,0.51,0.98,47.60
61543,0.51,1.00,53.20
61544,0.52,0.98,38.00
61545,0.47,1.00,35.50
61546,0.50,0.98,46.90
61547,0.50,0.99,42.60
61548,0.50,0.97,41.80
61550,0.47,0.96,42.80
61552,0.47,1.00,48.40
61553,0.43,0.98,41.90
61554,0.49,0.96,40.70
61559,0.51,0.94,43.50
61560,0.50,0.91,63.80
61561,0.51,0.99,45.00
61562,0.80,1.00,48.60
61563,0.52,0.99,43.00
61564,0.46,0.99,37.10
61565,0.51,0.99,46.80
61567,0.51,0.96,45.30
61568,0.49,0.97,37.60
61569,0.47,0.96,46.30
61570,0.50,0.98,41.30
61571,0.48,0.94,39.40
61572,0.53,0.97,43.40
61602,0.75,0.69,44.30
61603,0.49,0.46,31.80
61604,0.48,0.66,38.30
61605,0.46,0.35,32.90
61606,0.52,0.69,22.10
61607,0.51,0.96,43.40
