Inspection ID,DBA Name,AKA Name,License #,Address,Zip,Inspection Date,Latitude,Longitude,Location
2214120,THE MUKASE RESTAURANT & AFRICA FOODS,THE MUKASE RESTAURANT,2483336,1361-1363 W WILSON AVE ,60640,9/10/2018,41.96518569,-87.6647914,"(-87.66479140153986, 41.96518569194014)"
2229420,JOE'S SHRIMP HOUSE & GRILL,JOE'S BREAKFAST & LUNCH,2064527,2325 W TAYLOR ST ,60612,10/9/2018,41.86888698,-87.68465603,"(-87.6846560283643, 41.86888698428819)"
2200771,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,2269750,6656 W GRAND AVE ,60707,8/10/2018,41.92372832,-87.79277661,"(-87.79277661387391, 41.92372832371481)"
2200711,MANNYS COFFEE HOUSE,MANNYS COFFEE HOUSE,2451974,1131-1141 S JEFFERSON ST ,60607,8/10/2018,41.86801513,-87.64207038,"(-87.64207038233704, 41.868015128224584)"
2200703,LA PASADITA,LA PASADITA,25252,1140 N ASHLAND AVE ,60622,8/8/2018,41.90279106,-87.66762445,"(-87.66762444616421, 41.90279105920047)"
2214207,LEONA'S RESTAURANT,LEONA'S RESTAURANT,2313669,1236 E 53RD ST ,60615,9/11/2018,41.79958201,-87.59510894,"(-87.59510894342813, 41.7995820117793)"
2214187,FLAMINGO CAFE,FLAMINGO CAFE,33011,6069-6073 S ARCHER AVE ,60638,9/11/2018,41.79456475,-87.76914449,"(-87.76914449094998, 41.79456474995328)"
2213901,GEORGE HOT DOGS,GEORGE HOT DOGS,2177985,2612 S KEDZIE AVE ,60623,9/5/2018,41.84408464,-87.70517689,"(-87.70517688607757, 41.84408464433586)"
2222216,"THE FAT SHALLOT, LLC",THE FAT SHALLOT,2608179,2468 N CLARK ST ,60614,9/12/2018,41.92723611,-87.64162904,"(-87.64162904370876, 41.92723611438838)"
2214176,POCKETS,POCKETS,1958962,3001 N LINCOLN AVE ,60657,9/11/2018,41.93628164,-87.66371095,"(-87.66371095205731, 41.93628164002852)"
2213984,CAFE MUSTACHE,CAFE MUSTACHE,2378811,2313-2315 N MILWAUKEE AVE ,60647,9/7/2018,41.92335589,-87.69785017,"(-87.69785017026875, 41.92335589370734)"
2213829,65 EXPRESS,65 EXPRESS,2583667,331 S FRANKLIN ST ,60606,9/4/2018,41.87735119,-87.63504277,"(-87.63504276859136, 41.87735119229724)"
2229359,AVLI TAVERNA,AVLI TAVERNA,2616778,1335 W WRIGHTWOOD AVE ,60614,10/4/2018,41.92875605,-87.66237147,"(-87.66237147194119, 41.92875605419546)"
2223202,FRANCESCA'S BRYN MAWR,FRANCESCA'S BRYN MAWR,1044933,1039 W BRYN MAWR AVE ,60660,10/1/2018,41.98357123,-87.65675393,"(-87.6567539303426, 41.98357123084218)"
2214039,CHICAGO MARRIOTT DOWNTOWN,HARVEST GRILL,33834,540 N MICHIGAN AVE ,60611,9/7/2018,41.89214078,-87.62431278,"(-87.62431278442189, 41.892140783720365)"
2229447,EDGEWATER BEACH CAFE,EDGEWATER BEACH CAFE,7556,5539-5545 N SHERIDAN RD ,60640,10/9/2018,41.98298902,-87.65502138,"(-87.65502137980539, 41.98298901767028)"
2200745,TRE KRONOR RESTAURANT,TRE KRONOR RESTAURANT,69257,3258 W FOSTER AVE ,60625,8/10/2018,41.97583113,-87.71106023,"(-87.71106022614639, 41.97583112819268)"
2214105,JIEYI SUSHI,JIEYI SUSHI,2506880,1178 N MILWAUKEE AVE ,60642,9/10/2018,41.90311912,-87.66633653,"(-87.6663365256722, 41.90311911873191)"
2229524,CLUB FAMILIAR,CLUB FAMILIAR,2622801,2050 W CERMAK RD ,60608,10/10/2018,41.85225309,-87.6778683,"(-87.6778682979758, 41.85225308503357)"
2200735,KANELA BREAKFAST CLUB,KANELA BREAKFAST CLUB,2359087,502 E ILLINOIS ST ,60611,8/10/2018,41.89120951,-87.61503577,"(-87.61503577319365, 41.89120951041896)"
2229363,SKYBRIDGE RESTAURANT & BAR,SKYBRIDGE RESTAURANT  BAR & GRILL  (T2 F14),1042895,11601 W TOUHY AVE ,60666,10/4/2018,42.0085364,-87.91442844,"(-87.91442843927047, 42.008536400868735)"
