,census_tract,median_household_income_in_past_12_months
1186,8294.01,"30,511"
1187,8294.02,"39,375"
1188,8295,"38,082"
1189,8296,"48,958"
1190,8297,"39,044"
1191,8298,"106,079"
1192,8299.01,"77,098"
1193,8299.02,"77,518"
1194,8300.01,"40,417"
1195,8300.03,"92,660"
1196,8300.04,"85,750"
1197,8300.05,"97,237"
1198,8300.06,"54,575"
1199,8300.07,"44,595"
1200,8300.08,"86,160"
1201,8301,"71,744"
1202,8302.01,"49,719"
1203,8302.02,"96,607"
1204,8303,"34,088"
1205,8304,"55,570"
1206,8305,"39,401"
1207,8306,"47,355"
1208,8307,"51,950"
1209,8308,"72,500"
1210,8309,"102,250"
1211,8310,"159,020"
1212,8311,"60,745"
1213,8312,"37,880"
1214,8313,"39,896"
1215,8314,"33,456"
1216,8315,"58,307"
1217,8316,"40,262"
1218,8317,"54,737"
1219,8318,"53,529"
1220,8319,"109,643"
1221,8320,"115,192"
1222,8321,"72,778"
1223,8322,"106,840"
1224,8323,"104,954"
1225,8324,"103,750"
1226,8325,"132,222"
1227,8326,"148,616"
1228,8329,"55,284"
1229,8330,"141,378"
1230,8331,"114,007"
1231,8333,"52,500"
1232,8339,"30,417"
1233,8340,"30,806"
1234,8342,"47,727"
1235,8343,"42,766"
1236,8344,"49,091"
1237,8345,"31,362"
1238,8346,"24,500"
1239,8347,"22,104"
1240,8348,"21,101"
1241,8349,"19,676"
1242,8350,"26,498"
1243,8351,"39,398"
1244,8352,"47,581"
1245,8355,"23,051"
1246,8356,"23,918"
1247,8357,"45,885"
1248,8358,"49,239"
1249,8359,"19,015"
1250,8360,"65,667"
1251,8361,"26,102"
1252,8362,"110,357"
1253,8363,"49,167"
1254,8364,"30,616"
1255,8365,"29,972"
1256,8366,"43,571"
1257,8367,"28,365"
1258,8368,"13,736"
1259,8369,"22,109"
1260,8370,"26,538"
1261,8371,"25,556"
1262,8373,"27,406"
1263,8374,"40,417"
1264,8378,"60,417"
1265,8380,"22,951"
1266,8381,"16,953"
1267,8382,"42,313"
1268,8383,"58,542"
1269,8386,"17,652"
1270,8387,"25,405"
1271,8388,"25,332"
1272,8390,"102,188"
1273,8391,"94,667"
1274,8392,"33,295"
1275,8395,"19,375"
1276,8396,"33,598"
1277,8397,"50,982"
1278,8398,"50,595"
1279,8399,"62,536"
1280,8400,"80,000"
1281,8401,"46,509"
1282,8402,"57,308"
1283,8403,"48,622"
1284,8404,"44,861"
1285,8407,"37,966"
1286,8408,"31,752"
1287,8410,"97,188"
1288,8411,"30,676"
1289,8412,"44,336"
1290,8413,"50,039"
1291,8414,"26,439"
1292,8415,"28,807"
1293,8416,"21,974"
1294,8417,"22,444"
1295,8418,"37,328"
1296,8419,"116,377"
1297,8420,"91,548"
1298,8421,"35,309"
1299,8422,"99,440"
1300,8423,"132,794"
1301,8424,"39,097"
1302,8425,"9,787"
1303,8426,"62,813"
1304,8428,"34,327"
1305,8429,"19,429"
1306,8430,"21,198"
1307,8431,"20,417"
1308,8432,"47,083"
1309,8433,"47,321"
1310,8434,"25,078"
1311,8435,"27,891"
1312,8436,"39,602"
1313,8437,"112,386"
1314,8438,"34,375"
1315,8439,"34,381"
1316,9800,-
1317,9801,-
1318,9900,-
