GEOID,perc_below_poverty_2018
17031841900,18.2
17031842000,20.8
17031842100,27.2
17031842200,9
17031842300,5.6
17031842400,27.4
17031842500,63.4
17031842600,11.8
17031842800,39.5
17031842900,43.6
17031843000,42.5
17031843100,48.2
17031843200,24.4
17031843300,44.8
17031843400,31.1
17031843500,34.3
17031843600,22.5
17031843700,3.7
17031843800,23
17031843900,28.4
17031980000,-
17031980100,-
17031990000,-
