GEOID,unemployment_2017
17031803400,4.6
17031803500,5.6
17031803603,2.6
17031803604,3.4
17031803605,5.9
17031803606,5.5
17031803607,4.1
17031803608,4.7
17031803610,3.8
17031803611,7.5
17031803612,3.7
17031803701,3.5
17031803702,4.3
17031803800,3.6
17031803901,8.2
17031803902,3.7
17031804000,5.3
17031804102,2.6
17031804104,4.4
17031804105,1.6
17031804106,5.2
17031804108,5.4
17031804109,1.3
17031804201,5.8
17031804202,3.1
17031804305,6.5
17031804306,8.8
17031804308,5.2
17031804309,7.7
17031804310,5.1
17031804311,3.4
17031804403,7.2
17031804404,8.8
17031804405,9.4
17031804406,5.9
17031804505,5
17031804506,1.8
17031804507,4.2
17031804508,10
17031804509,5.5
17031804510,7.8
17031804511,3.3
17031804603,2.9
17031804606,3.4
17031804607,5
17031804608,10
17031804609,3.3
17031804610,5.6
17031804611,7.7
17031804701,9.5
17031804705,7.3
17031804706,4.8
17031804709,5.4
17031804710,3.7
17031804711,4.8
17031804712,4.2
17031804713,3.9
17031804714,7.7
17031804715,4.8
17031804716,6.9
17031804803,4.3
17031804804,6.5
17031804805,4.2
17031804806,4.5
17031804807,3.9
17031804808,5.8
17031804809,2.7
17031804810,6.5
17031804901,1.7
17031804902,5.5
17031805001,1.8
17031805002,6.7
17031805105,7.7
17031805106,3.8
17031805107,8.1
17031805108,6.9
17031805109,3.3
17031805110,2.2
17031805111,7
17031805112,7.2
17031805201,4.2
17031805202,1.9
17031805301,2.4
17031805302,4.7
17031805401,7.9
17031805402,3.6
17031805501,5.2
17031805502,2.9
17031805600,6.2
17031805701,1.6
17031805702,3.4
17031805801,3.7
17031805802,2.6
17031805901,4.9
17031805902,2.1
17031806001,5.7
17031806002,5.2
17031806003,3.8
17031806004,6
17031806102,6.9
17031806103,2.7
17031806104,3.5
17031806201,8.7
17031806202,4.2
17031806300,4.2
17031806400,5.2
17031806501,6.2
17031806502,4.1
17031806600,4
17031806700,7.4
17031806801,7.4
17031806802,5.2
17031806900,5
17031807000,5.8
17031807100,4.4
17031807200,6
17031807300,5.8
17031807400,8.2
17031807500,4.2
17031807600,6.9
17031807700,6.4
17031807800,3
17031807900,4.2
17031808001,3.3
17031808002,7
17031808100,5.6
17031808200,3.6
17031808301,2
17031808302,3.7
17031808400,6.4
17031808500,4.3
17031808600,1
17031808702,8.2
17031808800,3.3
17031808900,3.3
17031809000,5
17031809100,1.5
17031809200,8.7
17031809300,1.5
17031809400,5.4
17031809500,4.5
17031809600,13.4
17031809700,6.1
17031809800,6.1
17031809900,3.3
17031810000,3.1
17031810100,8.7
17031810200,3.3
17031810301,3.7
17031810302,1.4
17031810400,2.5
17031810501,4.6
17031810502,7.5
17031810600,9.1
17031810701,9.5
17031810702,4.9
17031810800,8.1
17031810900,7.7
17031811000,7
17031811100,6.4
17031811200,6
17031811301,9.9
17031811302,16.9
17031811401,7.3
17031811402,5.8
17031811500,8.2
17031811600,7.9
17031811701,5.4
17031811702,7.2
17031811800,3.9
17031811900,2.2
17031812000,4.2
17031812100,7.1
17031812200,6.7
17031812301,4
17031812302,7.1
17031812400,5.5
17031812500,4.2
17031812600,7
17031812700,4.7
17031812801,8.3
17031812802,9.2
17031812900,4.6
17031813000,6.8
17031813100,6
17031813200,3.9
17031813301,5.8
17031813302,10.8
17031813400,6.4
17031813500,8.2
17031813600,9.9
17031813701,11.1
17031813702,6.2
17031813801,3.6
17031813802,8.1
17031813900,9.9
17031814000,8
17031814100,4.4
17031814200,8.8
17031814300,11.1
17031814400,10.5
17031814500,7.2
17031814600,6.2
17031814700,6.9
17031814800,8.5
17031814900,9.8
17031815000,4.2
17031815100,4.6
17031815200,8.1
17031815300,6
17031815400,6.8
17031815500,7.9
17031815600,7
17031815701,7.4
17031815702,6.7
17031815800,8.3
17031815900,8
17031816000,5.6
17031816100,11
17031816200,6.5
17031816300,6.7
17031816401,4.9
17031816402,5
17031816500,7.6
